name_1,l,b,RA_1,dec_1,viewreduceddatum,name_2,type,created,modified,ra_2,dec_2,epoch,parallax,pm_ra,pm_dec,galactic_lng,galactic_lat,distance,distance_err,scheme,epoch_of_elements,mean_anomaly,arg_of_perihelion,eccentricity,lng_asc_node,inclination,mean_daily_motion,semimajor_axis,epoch_of_perihelion,ephemeris_period,ephemeris_period_err,ephemeris_epoch,ephemeris_epoch_err,perihdist,priority,ztf_alert_name,TNS_ID,classification,maglast,dont_update_me,jdlastobs,aavso_name,cadence,gaia_alert_name,fun name,update_me,tweet,gaiadr2_id,calib_server_name,dicovery_date,Sun_separation,Separation
Gaia20fnr,224.87751,-19.37236,90.267,-18.9677,,Gaia20fnr,SIDEREAL,2020-12-21 15:05:55.797896+00:00,2022-08-18 01:14:59.375207+00:00,90.267,-18.9677,2000.0,,,,224.87750824442153,-19.372360970063426,,,,,,,,,,,,,,,,,,10.0,,AT2020ably,Bright microlensing event,13.15,false,2459805.9255463,Gaia20fnr,0.1,Gaia20fnr,,,false,2990431491637998848,ivo://Gaia20fnr,,64.5777444512876,0.0
Gaia21asq,55.79548,0.43044,293.34164,20.439,,Gaia21asq,SIDEREAL,2021-02-17 14:34:49.454589+00:00,2022-08-18 01:25:47.654891+00:00,293.34164,20.439,2000.0,,,,55.795480832610245,0.43044030164384195,,,,,,,,,,,,,,,,,,1.0,,AT2021cps,microlensing event candidate,18.24,false,2459723.94302,,2.0,Gaia21asq,,,false,,ivo://Gaia21asq,,132.71561952553347,0.0
Gaia21atr,47.38622,1.89856,287.83576,13.71737,,Gaia21atr,SIDEREAL,2021-02-17 14:30:14.582799+00:00,2022-08-18 01:25:32.833630+00:00,287.83576,13.71737,2000.0,,,,47.386222184945375,1.8985611708325736,,,,,,,,,,,,,,,,,,1.0,,AT2021cwl,microlensing event candidate,18.45,false,2459802.43094903,,2.0,Gaia21atr,,,false,,ivo://Gaia21atr,,132.68015450830777,0.0
Gaia21auw,4.01744,6.88044,262.3259,-21.87529,,Gaia21auw,SIDEREAL,2021-06-08 09:14:38.361288+00:00,2022-08-18 01:33:22.768296+00:00,262.3259,-21.87529,2000.0,,,,4.017443670544922,6.880437691328128,,,,,,,,,,,,,,,,,,4.0,,AT2021dbq,binary microlensing event,16.45,false,2459742.4838568,,1.0,Gaia21auw,,,false,,ivo://Gaia21auw,,118.06815925799121,0.0
Gaia21axk,20.46448,-2.10311,279.00669,-12.04848,,Gaia21axk,SIDEREAL,2021-02-22 11:03:29.333407+00:00,2022-08-18 01:25:56.286703+00:00,279.00669,-12.04848,2000.0,,,,20.46447571682725,-2.10310960335785,,,,,,,,,,,,,,,,,,,,,,18.43,false,2459688.24905,,,Gaia21axk,,,false,,ivo://Gaia21axk,,133.14580950075526,0.0
Gaia21azb,42.29788,-3.89468,290.63896,6.51886,,Gaia21azb,SIDEREAL,2021-04-27 16:40:05.688598+00:00,2022-08-18 01:29:45.052342+00:00,290.63896,6.51886,2000.0,,,,42.297877509078354,-3.8946780641658485,,,,,,,,,,,,,,,,,,1.0,,AT2021doc,highly magnified microlensing event,18.37,false,2459737.13035,Gaia21azb,2.0,Gaia21azb,,,false,,ivo://Gaia21azb,,138.75348092386042,0.0
Gaia21bfr,23.23707,-3.47155,281.53458,-10.20734,,Gaia21bfr,SIDEREAL,2021-03-09 10:46:44.991263+00:00,2022-08-18 01:27:03.184939+00:00,281.53458,-10.20734,2000.0,,,,23.23707296746134,-3.4715469141668587,,,,,,,,,,,,,,,,,,1.0,,AT2021fbo,Bright microlensing event,17.0,false,2459688.49694,,10.0,Gaia21bfr,,,false,,ivo://Gaia21bfr,,135.35453206316885,0.0
Gaia21blg,323.55462,1.94997,230.47715,-54.7816,,Gaia21blg,SIDEREAL,2021-03-24 05:17:53.339084+00:00,2022-08-18 01:27:45.804307+00:00,230.47715,-54.7816,2000.0,,,,323.55461767456416,1.9499654011581888,,,,,,,,,,,,,,,,,,0.0,,AT2021gur,bright microlensing in the Disk,16.31,false,2459780.05494,Gaia21blg,100.0,Gaia21blg,,,false,,ivo://Gaia21blg,,97.04618472973574,0.0
Gaia21blx,316.69911,-2.45443,223.31427,-62.02517,,Gaia21blx,SIDEREAL,2021-03-23 12:58:44.369752+00:00,2022-08-18 01:27:21.300431+00:00,223.31427,-62.02517,2000.0,,,,316.69911394226284,-2.4544307461954245,,,,,,,,,,,,,,,,,,3.0,,AT2021gxs,bright microlensing binary event,17.93,false,2459779.72477,,3.0,Gaia21blx,,,false,,ivo://Gaia21blx,,95.38014382409459,0.0
Gaia21bol,295.51748,-7.72067,171.59038,-69.35853,,Gaia21bol,SIDEREAL,2021-04-12 09:59:44.627816+00:00,2022-08-18 01:28:43.597616+00:00,171.59038,-69.35853,2000.0,,,,295.51747781129063,-7.720666368480954,,,,,,,,,,,,,,,,,,1.0,,AT2021hgh,faint microlensing event candidate,19.01,false,2459780.95898,,10.0,Gaia21bol,,,false,,ivo://Gaia21bol,,84.39331569054698,0.0
