JD;Magnitude;Error;Facility;Filter;Owner
2459526.4627293;16.381118774414062;0.0750324893696106;ObsMontsec-Umut Burgaz;B(APASS);ObsMontsec-Umut Burgaz
2459527.31730324;15.580201148986816;0.1389377423174776;GeoNAO_SXVR-H36, Teimuraz Kvernadze;V(APASS);GeoNAO_SXVR-H36, Teimuraz Kvernadze
2459527.32532406;15.362125396728516;0.1261157566366687;GeoNAO_SXVR-H36, Teimuraz Kvernadze;r(APASS);GeoNAO_SXVR-H36, Teimuraz Kvernadze
2459527.33334494;15.12816333770752;0.1898984793684093;GeoNAO_SXVR-H36, Teimuraz Kvernadze;i(APASS);GeoNAO_SXVR-H36, Teimuraz Kvernadze
2459528.4068762;16.35516929626465;0.0945610857193855;ObsMontsec-Umut Burgaz;B(APASS);ObsMontsec-Umut Burgaz
2459528.4083658;16.399982452392578;0.1167461451308824;ObsMontsec-Umut Burgaz;B(APASS);ObsMontsec-Umut Burgaz
2459528.409832;16.37114143371582;0.0896920314115142;ObsMontsec-Umut Burgaz;B(APASS);ObsMontsec-Umut Burgaz
2459528.4113621;16.35367202758789;0.0979030793361175;ObsMontsec-Umut Burgaz;B(APASS);ObsMontsec-Umut Burgaz
2459528.4128254;16.368669509887695;0.0846639477164672;ObsMontsec-Umut Burgaz;B(APASS);ObsMontsec-Umut Burgaz
2459528.4142917;16.364145278930664;0.0843229240105121;ObsMontsec-Umut Burgaz;B(APASS);ObsMontsec-Umut Burgaz
2459528.4158926;15.654565811157228;0.0619414779563854;ObsMontsec-Umut Burgaz;V(APASS);ObsMontsec-Umut Burgaz
2459528.4170141;15.652010917663574;0.0570815516152196;ObsMontsec-Umut Burgaz;V(APASS);ObsMontsec-Umut Burgaz
2459528.4181669;15.656036376953123;0.059054572878338;ObsMontsec-Umut Burgaz;V(APASS);ObsMontsec-Umut Burgaz
2459528.419338;15.653023719787598;0.0643143787240149;ObsMontsec-Umut Burgaz;V(APASS);ObsMontsec-Umut Burgaz
2459528.4204676;15.652149200439451;0.0661786382519515;ObsMontsec-Umut Burgaz;V(APASS);ObsMontsec-Umut Burgaz
2459528.4215715;15.657732009887695;0.0656182418882217;ObsMontsec-Umut Burgaz;V(APASS);ObsMontsec-Umut Burgaz
2459528.4228127;15.437399864196776;0.0520593617936314;ObsMontsec-Umut Burgaz;r(APASS);ObsMontsec-Umut Burgaz
2459528.4235835;15.417529106140137;0.0546952960705218;ObsMontsec-Umut Burgaz;r(APASS);ObsMontsec-Umut Burgaz
2459528.4243453;15.415203094482422;0.0601571763832926;ObsMontsec-Umut Burgaz;r(APASS);ObsMontsec-Umut Burgaz
2459528.4252581;15.104548454284668;0.0682353405434832;ObsMontsec-Umut Burgaz;i(APASS);ObsMontsec-Umut Burgaz
2459528.4260312;15.11701488494873;0.0716815284612741;ObsMontsec-Umut Burgaz;i(APASS);ObsMontsec-Umut Burgaz
2459528.4268074;15.122196197509766;0.0710272704339677;ObsMontsec-Umut Burgaz;i(APASS);ObsMontsec-Umut Burgaz
2459528.4277669;15.653853416442873;0.0566054701627925;ObsMontsec-Umut Burgaz;V(APASS);ObsMontsec-Umut Burgaz
