HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458283.53868,2018-06-14.0333572,bm,1.96,17.097,>17.097,99.990,-0.194,0.105,g
2458283.54692,2018-06-14.0415961,bn,1.70,17.400,>17.400,99.990,-0.009,0.080,g
2458283.82827,2018-06-14.3229384,bi,1.60,17.081,>17.081,99.990,-0.028,0.107,g
2458283.82948,2018-06-14.3241562,bi,1.56,17.056,>17.056,99.990,-0.136,0.109,g
2458283.83070,2018-06-14.3253743,bi,1.56,17.140,>17.140,99.990,-0.290,0.101,g
2458284.74689,2018-06-15.2415361,bi,1.64,17.113,>17.113,99.990,-0.324,0.104,g
2458284.74811,2018-06-15.2427488,bi,1.55,16.965,>16.965,99.990,0.056,0.119,g
2458284.74933,2018-06-15.2439670,bi,1.60,16.878,>16.878,99.990,-0.189,0.129,g
2458285.91078,2018-06-16.4053839,bj,1.54,16.895,>16.895,99.990,-0.157,0.127,g
2458285.91200,2018-06-16.4066061,bj,1.57,17.153,>17.153,99.990,-0.284,0.100,g
2458285.91321,2018-06-16.4078234,bj,1.57,16.964,>16.964,99.990,-0.197,0.119,g
2458286.43912,2018-06-16.9337164,bm,2.06,99.990,99.990,99.990,99.990,99.990,g
2458286.44036,2018-06-16.9349523,bm,2.07,99.990,99.990,99.990,99.990,99.990,g
2458286.44162,2018-06-16.9362175,bm,2.10,17.017,>17.017,99.990,-0.257,0.113,g
2458286.44669,2018-06-16.9412958,bn,1.58,99.990,99.990,99.990,99.990,99.990,g
2458286.44791,2018-06-16.9425108,bn,1.50,99.990,99.990,99.990,99.990,99.990,g
2458286.44917,2018-06-16.9437659,bn,1.50,99.990,99.990,99.990,99.990,99.990,g
2458287.60879,2018-06-18.1033540,bj,1.59,17.189,>17.189,99.990,-0.125,0.097,g
2458287.61003,2018-06-18.1045853,bj,1.57,17.115,>17.115,99.990,-0.029,0.104,g
2458287.61124,2018-06-18.1058017,bj,1.55,17.113,>17.113,99.990,0.066,0.104,g
2458287.63106,2018-06-18.1256332,bi,1.39,17.179,>17.179,99.990,0.017,0.098,g
2458287.63228,2018-06-18.1268460,bi,1.42,17.079,>17.079,99.990,-0.016,0.107,g
2458287.63350,2018-06-18.1280656,bi,1.40,17.214,>17.214,99.990,-0.144,0.095,g
2458288.73604,2018-06-19.2305752,bi,1.54,17.177,>17.177,99.990,-0.130,0.098,g
2458288.73726,2018-06-19.2317915,bi,1.53,17.214,>17.214,99.990,-0.012,0.095,g
2458288.73847,2018-06-19.2330081,bi,1.51,17.327,>17.327,99.990,-0.089,0.085,g
2458288.77179,2018-06-19.2663223,bj,1.50,17.063,>17.063,99.990,-0.190,0.109,g
2458288.77300,2018-06-19.2675359,bj,1.56,17.211,>17.211,99.990,-0.134,0.095,g
2458288.77422,2018-06-19.2687533,bj,1.53,17.142,>17.142,99.990,0.051,0.101,g
2458289.58358,2018-06-20.0780986,bi,1.61,16.674,>16.674,99.990,-0.531,0.155,g
2458289.58480,2018-06-20.0793149,bi,1.60,16.852,>16.852,99.990,0.187,0.132,g
2458289.58602,2018-06-20.0805346,bi,1.57,16.660,>16.660,99.990,-0.424,0.157,g
2458289.76312,2018-06-20.2576375,bi,1.49,17.218,>17.218,99.990,-0.106,0.094,g
2458290.47033,2018-06-20.9648314,bm,1.52,99.990,99.990,99.990,99.990,99.990,g
2458290.47156,2018-06-20.9660501,bm,1.46,17.157,>17.157,99.990,-0.199,0.100,g
2458290.47277,2018-06-20.9672668,bm,1.51,99.990,99.990,99.990,99.990,99.990,g
2458290.48139,2018-06-20.9758834,bn,1.43,17.533,>17.533,99.990,-0.036,0.070,g
2458290.48259,2018-06-20.9770893,bn,1.46,17.530,>17.530,99.990,-0.060,0.071,g
2458290.48380,2018-06-20.9782937,bn,1.44,99.990,99.990,99.990,99.990,99.990,g
2458290.57945,2018-06-21.0739508,bi,1.44,16.511,>16.511,99.990,-0.104,0.181,g
2458290.58067,2018-06-21.0751703,bi,1.42,16.581,>16.581,99.990,-0.308,0.169,g
2458290.58190,2018-06-21.0763936,bi,1.44,16.499,>16.499,99.990,-0.096,0.183,g
2458290.74802,2018-06-21.2425092,bj,1.52,17.099,>17.099,99.990,-0.103,0.105,g
2458290.75047,2018-06-21.2449589,bj,1.55,17.030,>17.030,99.990,-0.127,0.112,g
2458291.65090,2018-06-22.1453725,bi,1.49,16.613,>16.613,99.990,-0.306,0.164,g
2458291.65212,2018-06-22.1465924,bi,1.49,16.612,>16.612,99.990,-0.072,0.165,g
2458291.65334,2018-06-22.1478115,bi,1.52,16.493,>16.493,99.990,-0.126,0.184,g
2458292.88247,2018-06-23.3769253,bj,1.51,17.221,>17.221,99.990,-0.032,0.094,g
2458292.88369,2018-06-23.3781407,bj,1.54,17.053,>17.053,99.990,-0.087,0.110,g
2458292.88492,2018-06-23.3793707,bj,1.63,17.050,>17.050,99.990,-0.208,0.110,g
2458293.73606,2018-06-24.2304957,bj,1.57,16.505,>16.505,99.990,-0.086,0.182,g
2458293.73729,2018-06-24.2317232,bj,1.55,16.410,>16.410,99.990,-0.533,0.198,g
2458293.73851,2018-06-24.2329512,bj,1.55,16.517,>16.517,99.990,-0.561,0.180,g
2458293.76222,2018-06-24.2566614,bi,2.12,16.317,>16.317,99.990,-0.463,0.216,g
2458293.76345,2018-06-24.2578857,bi,2.11,16.396,>16.396,99.990,-0.072,0.201,g
2458294.69973,2018-06-25.1941494,bi,2.22,16.502,>16.502,99.990,-0.420,0.182,g
2458294.70095,2018-06-25.1953706,bi,2.19,16.460,>16.460,99.990,-0.155,0.189,g
2458294.70217,2018-06-25.1965902,bi,2.18,16.590,>16.590,99.990,-0.293,0.168,g
2458294.72956,2018-06-25.2239807,bj,2.01,16.338,>16.338,99.990,-0.625,0.212,g
2458294.73078,2018-06-25.2251990,bj,2.01,16.303,>16.303,99.990,-0.350,0.219,g
2458294.73199,2018-06-25.2264150,bj,2.00,16.301,>16.301,99.990,-0.006,0.219,g
2458295.46753,2018-06-25.9619390,bn,2.07,15.927,>15.927,99.990,0.320,0.309,g
2458295.46875,2018-06-25.9631582,bn,1.99,15.827,>15.827,99.990,0.158,0.339,g
2458295.46996,2018-06-25.9643745,bn,1.99,15.915,>15.915,99.990,-0.229,0.313,g
2458295.56154,2018-06-26.0559498,bi,1.46,16.037,>16.037,99.990,0.185,0.279,g
2458295.56277,2018-06-26.0571785,bi,1.47,16.272,>16.272,99.990,-0.592,0.225,g
2458295.56399,2018-06-26.0584052,bi,1.40,16.028,>16.028,99.990,-0.362,0.282,g
2458295.72624,2018-06-26.2206466,bj,1.56,16.428,>16.428,99.990,0.133,0.195,g
2458295.72744,2018-06-26.2218603,bj,1.51,16.445,>16.445,99.990,-0.035,0.192,g
2458295.72867,2018-06-26.2230788,bj,1.55,16.168,>16.168,99.990,-0.437,0.248,g
2458296.34834,2018-06-26.8427344,bn,1.93,15.892,>15.892,99.990,-0.387,0.319,g
2458296.73688,2018-06-27.2312782,bj,1.59,15.981,>15.981,99.990,-0.415,0.294,g
2458296.73810,2018-06-27.2324943,bj,1.56,16.039,>16.039,99.990,0.546,0.279,g
2458296.73931,2018-06-27.2337091,bj,1.60,15.997,>15.997,99.990,-0.757,0.290,g
2458300.81015,2018-07-01.3045123,be,1.60,16.039,>16.039,99.990,-0.397,0.295,V
2458300.81143,2018-07-01.3057905,be,1.96,15.958,>15.958,99.990,-0.447,0.317,V
2458301.76077,2018-07-02.2551337,bf,1.50,16.187,>16.187,99.990,-0.474,0.257,V
2458301.76204,2018-07-02.2564003,bf,1.50,16.125,>16.125,99.990,-0.119,0.272,V
2458301.76332,2018-07-02.2576755,bf,1.47,16.288,>16.288,99.990,-0.506,0.234,V
2458302.60416,2018-07-03.0985231,bj,1.65,13.891,>13.891,99.990,-0.547,2.017,g
2458302.60538,2018-07-03.0997428,bj,1.63,14.710,>14.710,99.990,-0.508,0.949,g
2458302.60662,2018-07-03.1009824,bj,1.62,99.990,99.990,99.990,99.990,99.990,g
2458303.65051,2018-07-04.1448631,bj,1.63,16.743,>16.743,99.990,-0.207,0.146,g
2458303.65173,2018-07-04.1460811,bj,1.57,16.828,>16.828,99.990,-0.108,0.135,g
2458303.65294,2018-07-04.1472975,bj,1.61,16.815,>16.815,99.990,-0.002,0.137,g
